ordem;percentil;distancia_sexto_vizinho;distancia_geometrica_normalizada;eh_joelho
238;2.37023702370237;0.045347999112142066;0.006936732077773105;False
239;2.3802380238023804;0.04535807472072284;0.007029256886007116;False
240;2.3902390239023905;0.04537204522499186;0.007118888167284759;False
241;2.4002400240024;0.0453809584450626;0.007212276516613773;False
242;2.41024102410241;0.045416845307354924;0.007285626085157152;False
243;2.42024202420242;0.04541866105413048;0.007384287163705525;False
244;2.43024302430243;0.04550200190962099;0.007422383051663609;False
245;2.4402440244024404;0.04551272869631546;0.007514424098180698;False
246;2.45024502450245;0.045533078131329965;0.007599316457150201;False
247;2.4602460246024602;0.045602626954949196;0.007647658477276376;False
248;2.4702470247024704;0.045604370679763806;0.007746373061105025;False
249;2.4802480248024805;0.0456242190988134;0.007831637625986078;False
250;2.4902490249024902;0.04563069047885298;0.007926840023885034;False
251;2.5002500250025;0.04565463315119178;0.008009062958589882;False
252;2.51025102510251;0.045664811062179296;0.008101511766130859;False
253;2.5202520252025202;0.045701584699388356;0.008174202547550989;False
254;2.5302530253025304;0.045729269990605115;0.00825364508209173;False
255;2.54025402540254;0.04573121471916467;0.008352210339776397;False
256;2.5502550255025502;0.04576338720993455;0.008428319323458569;False
257;2.5602560256025604;0.04579075044323718;0.00850800111556373;False
258;2.5702570257025705;0.045896345194566854;0.008529564533168568;False
259;2.5802580258025802;0.045905643873445506;0.008622666524263491;False
260;2.59025902590259;0.04596610514482318;0.00867775970783102;False
261;2.6002600260026;0.04597044388943675;0.008774546445488262;False
262;2.6102610261026102;0.04601403840237399;0.008842169982657126;False
263;2.6202620262026204;0.04601994934917053;0.00893778872770008;False
264;2.63026302630263;0.046043263657171846;0.009020478475715087;False
265;2.6402640264026402;0.04608237850787122;0.009091429964253696;False
266;2.6502650265026504;0.046085007491018085;0.00918948688763319;False
267;2.6602660266026605;0.046085007491018085;0.00928949688863329;False
268;2.6702670267026702;0.04609639466967501;0.009381047328444043;False
269;2.68026802680268;0.04611407761619362;0.009467920627844122;False
270;2.69026902690269;0.04615983917815732;0.009533934259311844;False
271;2.7002700270027002;0.046175311703144976;0.009622449685946312;False
272;2.7102710271027104;0.04618936335437895;0.009712020682957234;False
273;2.72027202720272;0.0462107814044835;0.009796119165320909;False
274;2.7302730273027302;0.046221094331914896;0.009888467668835492;False
275;2.7402740274027404;0.04623984694516389;0.009974546310363722;False
276;2.7502750275027505;0.04624578293848901;0.010070146448283045;False
277;2.7602760276027603;0.046313734963941665;0.010119674733436244;False
278;2.7702770277027704;0.046320951412731855;0.010214323618048374;False
279;2.78027802780278;0.04634767679121921;0.010294479273961439;False
280;2.7902790279027903;0.04636415283395616;0.010382249184954104;False
281;2.8002800280028004;0.04642489233078791;0.010437135674192504;False
282;2.81028102810281;0.04652342732953119;0.010463943798215459;False
283;2.8202820282028203;0.04655809177430277;0.010538201503543836;False
284;2.8302830283028304;0.04661607164142517;0.010595138128034306;False
285;2.8402840284028406;0.04666252039857666;0.01066064124061801;False
286;2.8502850285028503;0.046663261683095036;0.010760100539646104;False
287;2.8602860286028604;0.04667185970993864;0.010853723046747803;False
288;2.87028702870287;0.04667423638200967;0.010951967412605287;False
289;2.8802880288028803;0.04672418709144675;0.011014868916789336;False
290;2.8902890289028904;0.04672418709144675;0.011114878917789436;False
291;2.9002900290029;0.046740412375992975;0.011202835117618177;False
292;2.9102910291029103;0.04674364858678185;0.011300440930187155;False
293;2.9202920292029204;0.04679732759102474;0.011360572675593206;False
